('九阳豆浆核桃花生味豆浆粉700g*25', 'GOODS838', '6950873202091'),
('好时巧克力酱680ml', 'GOODS822', '03431209'),
('海润北极翅（串串）300g*30', 'GOODS997', '6954867300046'),
('海润鱿鱼卷（串串）350g*30', 'GOODS999', '6954867300121'),
('海润香葱肉轮（串串）350g*30', 'GOODS998', '6954867300107'),
('海润昆布串（海带串）400g*30', 'GOODS1000', '6954867300893'),
('海润三色鳕鱼丸380g*30', 'GOODS1001', '6954867301128'),
('好顺景黄金鱼蛋2500g*4', 'GOODS1003', '6943547400244'),
('四海鱼豆腐1000g*10', 'GOODS1045', '2100001045005'),
('好顺景墨鱼丸2500g*4', 'GOODS1048', '6943547400268'),
('胜利宝特级炸鱼蛋2500g', 'GOODS833', '6920275403624'),
('千年记牛筋丸500g*20', 'GOODS1046', '6928298088064'),
('爽口佳豆腐串600g*5', 'GOODS1002', '6933213202890'),
('好顺景香菇贡丸2500g*4', 'GOODS1047', '6943547400176'),
('快易厨茶叶蛋粉200g*50', 'GOODS1056', '6927260311254'),
('盛记番茄酱（瓶装）500g*12', 'GOODS1057', '6930434551998'),
('盛记辣椒酱（瓶装）500g*12', 'GOODS1058', '6930434594698'),
('盛记甜辣酱（瓶装）500g*12', 'GOODS1059', '6930434505793'),
('寿桃乌冬面（配酱）(200g+25g)*30', 'GOODS993', '6944269301192'),
('寿桃车仔面（配酱）(180g+25g)*30', 'GOODS992', '6944269302724'),
('好哥们酸辣粉（配碗+酱）(200g+54g)*30', 'GOODS995', '6956592200134'),
('好哥们米线（配酱）(200g+25g)*30', 'GOODS996', '6956592200479'),
('道一热干面（黑鸭风味）(180g+30g)*30', 'GOODS994', '2100000994007'),
('羊城叉烧包80g*9', 'GOODS924', '2100000924004'),
('羊城麦香叉烧包80g*9', 'GOODS925', '2100000925001'),
('羊城酱肉包80g*9', 'GOODS926', '2100000926008'),
('羊城滑肉包100g*9', 'GOODS932', '2100000932009'),
('品春青菜包800g*8', 'GOODS1051', '6957413389229'),
('品春梅干菜包800g*8', 'GOODS1052', '6957413389182'),
('羊城雪菜包80g*9', 'GOODS927', '2100000927005'),
('羊城春菜包80g*9', 'GOODS930', '2100000930005'),
('品春糯米烧麦850g*7', 'GOODS1053', '6957413388550'),
('羊城豆沙包80g*6', 'GOODS928', '2100000928002'),
('羊城奶黄包80g*6', 'GOODS929', '2100000929009'),
('舒汇手撕红糖馒头850g*12', 'GOODS1049', '6959717901848'),
('品春紫薯包480g*20', 'GOODS1054', '6957413388017'),
('品春奥尔良割包660g*6', 'GOODS1055', '6957413388871'),
('羊城葱花卷75g*9', 'GOODS931', '2100000931002'),
('羊城糯米鸡180g*9', 'GOODS933', '2100000933006'),
('羊城蛋黄咸肉粽180g*6', 'GOODS934', '2100000934003'),
('羊城白馒头90g*6', 'GOODS935', '2100000935000'),
('羊城虾仁饭团150g*6', 'GOODS936', '2100000936007'),
('羊城鱿鱼虾米饭团150g*6', 'GOODS937', '2100000937004'),
('羊城咖喱粢饭150g*4', 'GOODS938', '2100000938001'),
('大佳意原味手抓饼120g', 'GOODS939', '2100000939008'),
('正大简装玉米猪肉蒸饺20g*46', 'GOODS940', '2100000940004'),
('正大简装菌菇三鲜蒸饺20g*46', 'GOODS941', '2100000941001'),
('食傅记红糖手撕馒头75*6g', 'GOODS942', '2100000942008'),
('胜利宝高级鸡肉肠340g', 'GOODS828', '6920275402696'),
('胜利宝迷你维也纳肠500g', 'GOODS830', '6920275410042'),
('胜利宝脆皮猪肉肠原味500g', 'GOODS834', '6920275402580'),
('圣农精致腿排1kg', 'GOODS793', '2100000793006'),
('圣农香烤翅中1kg', 'GOODS815', '2100000815005'),
('新田园炭烤肉串500g', 'GOODS816', '2100000816002'),
('胜利宝烤鸡腿1400g', 'GOODS832', '6920275408629'),
('六鳌红薯', 'GOODS839', '2100000839001'),
('甜玉米', 'GOODS840', '2100000840007'),
('鲜鸡蛋', 'GOODS837', '2100000837007'),
('雀巢摩爵扁桃仁香草味冰淇淋65g', 'GOODS112', '6918551810648'),
('雀巢摩爵巧克力味冰淇淋  65g', 'GOODS113', '6918551810655'),
('雀巢呈真牛奶棒牛奶味雪糕59g', 'GOODS114', '6918551811423'),
('雀巢8次方巧克力芝麻脆皮香草味雪糕84g', 'GOODS116', '6918551807884'),
('明治炼乳红豆雪糕87g', 'GOODS117', '6930692700022'),
('明治抹茶红豆雪糕96g', 'GOODS118', '6930692700053'),
('明治栗子红豆雪糕74g', 'GOODS119', '6930692700091'),
('明治炼乳芒果雪糕78g', 'GOODS120', '6930692700077'),
('明治炼乳燕麦雪糕87g', 'GOODS121', '6930692700305'),
('明治牛奶冰淇淋89g', 'GOODS122', '6930692700176'),
('明治牛奶巧克力冰淇淋93g', 'GOODS123', '6930692700183'),
('哈根达斯比利时巧克力小纸杯81g', 'GOODS87', '3415581533187'),
('哈根达斯曲奇香奶小纸杯77g', 'GOODS88', '074570052028'),
('哈根达斯夏威夷果仁小纸杯81g', 'GOODS89', '3415581139181'),
('哈根达斯香草小纸杯81g', 'GOODS90', '074570002023'),
('哈根达斯原味风味酸奶冰淇淋81g', 'GOODS91', '3415587321177'),
('哈根达斯香草焦糖扁桃仁脆皮冰淇淋69g', 'GOODS92', '3415587403170'),
('哈根达斯巧克力扁桃仁脆皮冰淇淋69g', 'GOODS93', '3415587404177'),
('哈根达斯香草脆皮三明治冰淇淋68g', 'GOODS94', '3415589413184'),
('雀巢呈真雪糍香草味冰淇淋32g', 'GOODS115', '6918551804593'),
('八喜香草口味冰淇淋90g', 'GOODS109', '6907868581181'),
('八喜榴莲口味冰淇淋90g', 'GOODS110', '6907868580108'),
('湾仔码头黑芝麻汤圆200g', 'GOODS97', '4891913100064'),
('全福德冰糖葫芦70g', 'GOODS111', '6957458260088'),
('湾仔码头香菇素菜大包390g', 'GOODS79', '6923420040064'),
('湾仔码头蜜汁叉烧包350g', 'GOODS98', '4891913086276'),
('湾仔码头一品奶黄包350g', 'GOODS99', '4891913106233'),
('湾仔码头玉米蔬菜猪肉水饺300g', 'GOODS95', '4891913151110'),
('湾仔码头三鲜水饺300g', 'GOODS96', '4891913150151'),
('巴马活泉饮用天然泉水555ml', 'GOODS354', '6951186700410'),
('恒大冰泉长白山天然矿泉水500ml', 'GOODS355', '6943052100110'),
('法国巴黎水（Perrier）天然含气矿泉水（原味）330ml', 'GOODS533', '3179730109295'),
('法国依云天然矿泉水500ml', 'GOODS534', '3068320055008'),
('景田百岁山矿泉水570ml', 'GOODS670', '6922255451427'),
('昆仑山雪山矿泉水510ml', 'GOODS671', '6947012800010'),
('益力矿泉水370ml', 'GOODS672', '6920586221399'),
('益力矿泉水550ml', 'GOODS673', '6920586221375'),
('屈臣氏PET蒸馏水400ml', 'GOODS490', '6920180239219'),
('屈臣氏PET蒸馏水600ml', 'GOODS491', '6920180219334'),
('怡宝PET纯净水1.555L', 'GOODS492', '6901285991271'),
('怡宝PET纯净水350ml', 'GOODS493', '6901285991240'),
('怡宝PET纯净水555ml', 'GOODS494', '6901285991219'),
('景田饮用纯净水560ml', 'GOODS674', '6944649700065'),
('芬芳巢蜜创意温馨盒装230g', 'GOODS922', '6970300350058'),
('芬芳巢蜜可人礼盒小瓶装75g', 'GOODS923', '6970300350034'),
('卡米拉富硒山泉水500ml', 'GOODS522', '6988481101033'),
('农夫山泉饮用天然水4L', 'GOODS675', '6921168509270'),
('农夫山泉饮用天然水550ml', 'GOODS676', '6921168509256'),
('立顿英式果茶饮料（柠檬味）500ml', 'GOODS677', '6934024550200'),
('维他AC柠檬茶饮料310ml', 'GOODS678', '4891028666288'),
('维他PET柠檬茶饮料500ml', 'GOODS679', '4891028705949'),
('维他TP低糖柠檬茶饮料250ml', 'GOODS680', '4891028703907'),
('维他TP柠檬茶饮料250ml', 'GOODS681', '4891028164456'),
('鸿福堂香港冰室冻柠茶饮料500ml', 'GOODS912', '6923830301304'),
('牛乳茶原味（即饮型）300ml', 'GOODS356', '6938888880114'),
('香飘飘香港兰芳园丝袜奶茶280ml', 'GOODS427', '6938888880107'),
('统一阿萨姆奶茶500ml', 'GOODS502', '6925303730574'),
('统一煎茶奶绿500ml', 'GOODS503', '6925303781699'),
('康师傅经典奶茶饮品（香浓味）500ml', 'GOODS682', '6921294358698'),
('康师傅经典奶茶饮品（炼乳味）500ml', 'GOODS683', '6921294358674'),
('统一PET冰红茶1L', 'GOODS504', '6925303723910'),
('统一红茶500ml', 'GOODS505', '6925303721398'),
('康师傅冰红茶饮料500ml', 'GOODS684', '6932394905019'),
('康师傅红茶饮料1L', 'GOODS685', '6921294396362'),
('统一PET绿茶1L', 'GOODS506', '6925303723934'),
('统一PET绿茶500ml', 'GOODS507', '6925303721367'),
('康师傅蜂蜜绿茶饮料550ml', 'GOODS686', '6921294305166'),
('三得利乌龙茶饮料（无糖）500ml', 'GOODS535', '6921581596048'),
('东方树叶原味茶饮料（乌龙茶）500ml', 'GOODS687', '6921168558032'),
('康师傅乌龙茶饮料500ml', 'GOODS688', '6921294392401'),
('农夫山泉PET茶π蜜桃乌龙茶饮料500ml', 'GOODS689', '6921168593569'),
('王老吉凉茶饮料250ml', 'GOODS357', '6901424333948'),
('王老吉凉茶310ml', 'GOODS562', '6956367338680'),
('王老吉凉茶500ml', 'GOODS563', '6956367338666'),
('加多宝凉茶植物饮料250ml', 'GOODS694', '4891599601138'),
('加多宝凉茶植物饮料310ml', 'GOODS695', '4891599338393'),
('加多宝凉茶植物饮料500ml', 'GOODS696', '4891599366808'),
('农夫山泉PET茶π玫瑰红茶饮料500ml', 'GOODS690', '6921168593736'),
('农夫山泉PET茶π柠檬红茶饮料500ml', 'GOODS691', '6921168593583'),
('农夫山泉PET茶π西柚茉莉饮料500ml', 'GOODS692', '6921168593552'),
('农夫山泉PET茶π柚子绿茶饮料500ml', 'GOODS693', '6921168593576'),
('康师傅茉莉蜜茶饮料500ml', 'GOODS697', '6921294393798'),
('康师傅茉莉清茶饮料500ml', 'GOODS698', '6921294398434'),
('维他PET菊花茶饮料500ml', 'GOODS725', '4891028705635'),
('汇源100%康美橙汁200ml', 'GOODS358', '6923555212794'),
('汇源100%康美苹果汁200ml', 'GOODS359', '6923555212800'),
('农夫山泉100%NFC橙汁300ml', 'GOODS699', '6921168593804'),
('农夫山泉100%NFC苹果香蕉汁300ml', 'GOODS700', '6921168593811'),
('农夫果园30%混合果蔬汁饮料500ml', 'GOODS701', '6921168532001'),
('健力宝AC橙味汽水330ml', 'GOODS508', '6901010101180'),
('健力宝PET橙味汽水560ml', 'GOODS509', '6901010117440'),
('统一PET冰糖雪梨饮料1L', 'GOODS510', '6925303752330'),
('统一PET冰糖雪梨饮料500ml', 'GOODS511', '6925303750275'),
('统一PET鲜橙多饮料2L', 'GOODS512', '6925303721244'),
('统一PET小茗同学冰橘绿茶480ml', 'GOODS513', '6925303754884'),
('统一PET小茗同学溜溜哒茶480ml', 'GOODS514', '6925303755461'),
('统一PET小茗同学青柠红茶480ml', 'GOODS515', '6925303754952'),
('统一PTE鲜橙多450ml', 'GOODS516', '6925303721039'),
('三得利沁柠水（柠檬味饮料）550ml', 'GOODS536', '6921581540089'),
('三得利沁桃水（水蜜桃味饮料）550ml', 'GOODS537', '6921581540065'),
('Hamu草莓芦荟果汁饮料240ml', 'GOODS568', '4713507024283'),
('Hamu芦荟果汁饮料240ml', 'GOODS569', '4713507024269'),
('Hamu石榴芦荟果汁饮料240ml', 'GOODS570', '4713507024306'),
('自然派百香果青梅汁饮料480ml', 'GOODS571', '4891214998186'),
('自然派荸荠竹蔗汁饮料480ml', 'GOODS572', '4891214998209'),
('自然派冰糖雪梨饮料480ml', 'GOODS573', '4891214998223'),
('哈姆葡萄果汁饮料490ml', 'GOODS585', '4713507016608'),
('哈姆红芭乐汁饮料490ml', 'GOODS586', '4713507016592'),
('哈姆水蜜桃汁饮料490ml', 'GOODS587', '4713507016585'),
('哈姆芒果汁饮料490ml', 'GOODS588', '4713507016615'),
('哈姆金橘柠檬汁饮料490ml', 'GOODS589', '4713507016578'),
('能是冰糖炖梨饮料100g', 'GOODS620', '6924216810007'),
('康师傅酸梅汤饮料450ml', 'GOODS702', '6921294392685'),
('立顿英式果茶饮料（混合水果味）500ml', 'GOODS703', '6934024550903'),
('立顿英式果茶饮料（水蜜桃味）500ml', 'GOODS704', '6934024550705'),
('美汁源果粒橙果汁饮料420ml', 'GOODS705', '6920927182631'),
('农夫山泉水溶C100果汁饮料（柠檬味）500ml', 'GOODS706', '6921168500956'),
('农夫山泉水溶C100果汁饮料（西柚味）500ml', 'GOODS707', '6921168500970'),
('鸿福堂无糖罗汉果饮料500ml', 'GOODS913', '6923830302400'),
('鸿福堂咸柑桔饮料500ml', 'GOODS914', '6923830302165'),
('鸿福堂咸味柠檬青柠果汁饮品500ml', 'GOODS915', '6923830302806'),
('鸿福堂雪梨海底椰饮料500ml', 'GOODS916', '6923830301892'),
('鸿福堂竹庶甘笋海底椰饮料500ml', 'GOODS917', '6923830301915'),
('Rita核桃乳味饮料280ml', 'GOODS360', '8936020052441'),
('Rita芦荟饮料（含芦荟果肉）280ml', 'GOODS361', '8936020052427'),
('Rita腰果乳味饮料280ml', 'GOODS362', '8936020052458'),
('唯他可可椰子水饮料330ml', 'GOODS417', '898999000022'),
('佳乐Coco椰子水250ml', 'GOODS621', '8886303280057'),
('贝奇野菜胡萝卜复合蔬菜果汁饮料450ml', 'GOODS363', '6932496800021'),
('健力宝AC柠檬蜜味汽水330ml', 'GOODS517', '6901010102514'),
('健力宝PET第五季饮料（番石榴味）450ml', 'GOODS518', '6901010108165'),
('正康纯豆奶330ml', 'GOODS538', '4711609000020'),
('哇米诺豆奶饮料（谷物味）300ml', 'GOODS708', '8851028001706'),
('哇米诺豆奶饮料（原味）300ml', 'GOODS709', '8851028000945'),
('椰树牌椰汁245ml', 'GOODS710', '6957735788861'),
('杨协成马蹄爽300ml', 'GOODS428', '6903220120364'),
('南方黑芝麻黑黑乳248ml', 'GOODS564', '6901333381191'),
('南方黑芝麻糊200ml', 'GOODS565', '6901333381535'),
('帕泊斯POPSS苏打气泡水柠檬味330ml', 'GOODS364', '6935145306028'),
('帕泊斯POPSS苏打气泡水原味330ml', 'GOODS365', '6935145306011'),
('可口可乐汽水樱桃口味335ml', 'GOODS622', '4905004'),
('可口可乐汽水香草口味355ml', 'GOODS623', '4936509'),
('可口可乐汽水传统口味335ml', 'GOODS624', '4963406'),
('可口可乐新生汽水355ml', 'GOODS625', '49000065206'),
('百事可乐碳酸饮料（青柠味）330ml', 'GOODS711', '6908946286912'),
('百事可乐碳酸饮料330ml', 'GOODS712', '6908946286905'),
('可口可乐零度碳酸饮料330ml', 'GOODS713', '6928804010091'),
('可口可乐碳酸饮料330ml', 'GOODS714', '6928804011142'),
('可口可乐碳酸饮料（香草味）330ml', 'GOODS715', '6928804012583'),
('百事可乐蓝色汽水450ml', 'GOODS539', '89686816068'),
('百事可乐碳酸饮料500ml', 'GOODS716', '6908946287315'),
('百事可乐碳酸饮料（青柠味）600ml', 'GOODS717', '6908946287346'),
('可口可乐碳酸饮料300ml', 'GOODS718', '6928804011128'),
('可口可乐碳酸饮料600ml', 'GOODS719', '6928804011760'),
('雪碧清爽柠檬味汽水500ml', 'GOODS720', '6920476620035'),
('怡泉+C柠檬味汽水500ml', 'GOODS721', '6928804010060'),
('乐可芬原味椰子汁饮料（含椰果）290ml', 'GOODS320', '8855044004628'),
('乐可芬芒果味椰子汁饮料（含椰果）290ml', 'GOODS321', '8855044006684'),
('乐可芬木瓜味椰子汁饮料（含椰果）290ml', 'GOODS322', '8855044006691'),
('乐可芬香蕉味椰子汁(含椰果）290ml', 'GOODS323', '8855044006707'),
('百事蓝色可乐450ml', 'GOODS324', '0089686816068'),
('德亚全脂牛奶200ml', 'GOODS325', '4260290260003'),
